provider,provider_shard_ordinal,repository_path,target_filename,expected_bytes,expected_sha256,expected_rows,first_id,last_id,selection_reason,download_status
MusicGen Large,3,data/train-00054-of-00210.parquet,train-00054-of-00210.parquet,40401480,53ac1abe58049485f34c0e28168de4168f223d2d0474f4698f98f00bf613c8a5,31,01299,01329,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Large,4,data/train-00059-of-00210.parquet,train-00059-of-00210.parquet,40401500,ec5c1cf96abf6de5ccd32be91d05a3142df64efaacf5dc005f9b2975dc667eed,31,01454,01484,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Medium,1,data/train-00024-of-00210.parquet,train-00024-of-00210.parquet,40401537,3e4bc600f3687a5fa6476da4bdc2af3396c05baaa209ff6f89040868ba9fc5dc,31,00507,00537,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Medium,2,data/train-00029-of-00210.parquet,train-00029-of-00210.parquet,40401489,97dd89023a4beab1990e35a6d3860ba7ee0227733075eee4b5666b9d5ee20a9b,31,00662,00692,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Medium,3,data/train-00033-of-00210.parquet,train-00033-of-00210.parquet,40401447,b9669ad4b2b7d2f30468afdd0888e4f65c381120f0d644eef45519eb6c22ef10,31,00786,00816,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Medium,4,data/train-00038-of-00210.parquet,train-00038-of-00210.parquet,40401519,eb082afa58e9d217260721908f6086950c85748ca0044477417ebdede21a7318,31,00941,00971,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Small,1,data/train-00004-of-00210.parquet,train-00004-of-00210.parquet,40401539,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,31,00025,00055,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Small,2,data/train-00009-of-00210.parquet,train-00009-of-00210.parquet,40401551,cd67a8bc5047d90fd7d50592c27f9a998e98e4bfbb1faeb86382e8b48ef98ed2,31,00180,00210,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Small,3,data/train-00013-of-00210.parquet,train-00013-of-00210.parquet,40401474,f4749da649faf5cbf46815c0879eaa7d8f58096c5658d3adcfc59f229d476182,31,00304,00334,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Small,4,data/train-00018-of-00210.parquet,train-00018-of-00210.parquet,40401463,44a866b1cd0fb633814581e004b1f31058cd392435fc70643c1ad82d21c2b812,31,00459,00489,pure_provider_evenly_spaced_id_range,PENDING
Mustango,1,data/train-00121-of-00210.parquet,train-00121-of-00210.parquet,9682715,73bd40834a418be69471943626ea30eaedf8b3b0c31ebe7936c3bf48cc4418da,31,03024,03054,pure_provider_evenly_spaced_id_range,PENDING
Mustango,2,data/train-00126-of-00210.parquet,train-00126-of-00210.parquet,9691528,84548bd9670ee63b78d789dc72eef393549450fcf4af232a8ffb9ac0850323e9,31,03179,03209,pure_provider_evenly_spaced_id_range,PENDING
Mustango,3,data/train-00130-of-00210.parquet,train-00130-of-00210.parquet,9686136,86820d1c9d0c73d94317ccc138a68e9056dfba3d8ee554c3e80db02412e4052f,31,03303,03333,pure_provider_evenly_spaced_id_range,PENDING
Mustango,4,data/train-00135-of-00210.parquet,train-00135-of-00210.parquet,9890624,f4a4f4c64d363cd76c3792e442fec0b3ca70fbeea44685ae514cc4884aad3397,31,03458,03488,pure_provider_evenly_spaced_id_range,PENDING
Riffusion,1,data/train-00103-of-00210.parquet,train-00103-of-00210.parquet,27977812,43470296f593009880391ad5ad589beaa051e332d1e531f3927e87164fc53ed1,31,02504,02534,pure_provider_evenly_spaced_id_range,PENDING
Riffusion,2,data/train-00108-of-00210.parquet,train-00108-of-00210.parquet,27977819,5ae1db822c071e8cb20abf1297b03b01964f0b85e6f5468878e3ebf7d4dc4779,31,02659,02689,pure_provider_evenly_spaced_id_range,PENDING
Riffusion,3,data/train-00113-of-00210.parquet,train-00113-of-00210.parquet,27977025,e1c8802895440c5ced08512ac99a2372f31cd05f5ac919ab96bba6d765893c4b,31,02814,02844,pure_provider_evenly_spaced_id_range,PENDING
Riffusion,4,data/train-00118-of-00210.parquet,train-00118-of-00210.parquet,27977783,3dc57d82180b870f753921f09912192dcfb867104b28e6a87f96c9d3f190c17d,31,02969,02999,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v1,1,data/train-00138-of-00210.parquet,train-00138-of-00210.parquet,56950078,29cd0c8afc1310b3374867fd6420a317732bbe511d1af32a23bbfcc2415b4b7c,31,03513,03543,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v1,2,data/train-00143-of-00210.parquet,train-00143-of-00210.parquet,57381393,88089f349b2154f28a3b3e64f78fb33c0cc9adf0d5f5ad7ac0efb3e922a4e2b4,31,03668,03698,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v1,3,data/train-00147-of-00210.parquet,train-00147-of-00210.parquet,56376796,c34dcdf0aba1ad90e9a90d3798af192157960cfa0b8c01900db080df62fd5fc2,31,03792,03822,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v1,4,data/train-00152-of-00210.parquet,train-00152-of-00210.parquet,57382899,d992ebb76751698e34acbe7fec8269d2385441cb1701e2ac4ce7b60ec63c9f42,31,03947,03977,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v2,1,data/train-00155-of-00210.parquet,train-00155-of-00210.parquet,57515017,485bc666034c19c7e8bf30435b9a6baebea2c82859e15e04bfdc7deabc9c8fdd,31,04002,04032,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v2,2,data/train-00160-of-00210.parquet,train-00160-of-00210.parquet,57178068,d6b37c796a8035e652c035c5e9de8fcba96387526b38f108ef90e552e413e090,31,04157,04187,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v2,3,data/train-00165-of-00210.parquet,train-00165-of-00210.parquet,57468416,609c7447169d4841029f97b69fd9161141d2aa4aaf5323f0f9d764a578d4b23b,31,04312,04342,pure_provider_evenly_spaced_id_range,PENDING
Stable Audio v2,4,data/train-00170-of-00210.parquet,train-00170-of-00210.parquet,57743225,2b7bc67944a4c174ad46ef310647780e82876ca571dba25049393ae3c56a8195,31,04467,04497,pure_provider_evenly_spaced_id_range,PENDING
